DRUG,atc4
fluocinolone acetonide 0.01% cream,D07AC
fluocin,S01BA
fluocinolone 0.01% cream,S01BA
fluocinolone acetonide 0.01% cream,S01BA
fluocin,S02BA
fluocinolone 0.01% cream,S02BA
fluocinolone acetonide 0.01% cream,S02BA
fluocinolone acetonide 0.01% solution,C05AA
fluocinolone 0.01% solution,C05AA
fluocinolone acetonide 0.01% solution,D07AC
fluocinolone 0.01% solution,D07AC
fluocinolone acetonide 0.01% solution,S01BA
fluocinolone 0.01% solution,S01BA
fluocinolone acetonide 0.01% solution,S02BA
fluocinolone 0.01% solution,S02BA
fluocinolone 0.025% cream,C05AA
fluocinolone acetonide 0.025% cream,C05AA
fluocinolone 0.025% cream,D07AC
fluocinolone acetonide 0.025% cream,D07AC
fluocinolone 0.025% cream,S01BA
fluocinolone acetonide 0.025% cream,S01BA
fluocinolone 0.025% cream,S02BA
fluocinolone acetonide 0.025% cream,S02BA
fluocinolone,C05AA
fluocinolone,D07AC
fluocinolone,S01BA
fluocinolone,S02BA
gentamicin sulfate,D06AX
gentamicin,D06AX
gentamicin 0.1% cream,D06AX
gentamicin sulfate,J01GB
gentamicin,J01GB
gentamicin 0.1% cream,J01GB
gentamicin sulfate,S01AA
gentamicin,S01AA
gentamicin 0.1% cream,S01AA
gentamicin sulfate,S02AA
gentamicin,S02AA
gentamicin 0.1% cream,S02AA
gentamicin sulfate,S03AA
gentamicin,S03AA
gentamicin 0.1% cream,S03AA
hydrocortisone cream 2.5%,A01AC
hydrocortisone cream 2.5%,A07EA
hydrocortisone cream 2.5%,C05AA
hydrocortisone cream 2.5%,D07AA
hydrocortisone cream 2.5%,D07XA
hydrocortisone cream 2.5%,H02AB
hydrocortisone cream 2.5%,S01BA
hydrocortisone cream 2.5%,S01CB
hydrocortisone cream 2.5%,S02BA
nystatin-triamcinolone,A01AC
nystatin-triamcinolone cream,A01AC
nystatin-triamcinolone,C05AA
nystatin-triamcinolone cream,C05AA
nystatin-triamcinolone,D07AB
nystatin-triamcinolone cream,D07AB
nystatin-triamcinolone,D07XB
nystatin-triamcinolone cream,D07XB
nystatin-triamcinolone,H02AB
nystatin-triamcinolone cream,H02AB
nystatin-triamcinolone,R01AD
nystatin-triamcinolone cream,R01AD
nystatin-triamcinolone,R03BA
nystatin-triamcinolone cream,R03BA
nystatin-triamcinolone,S01BA
nystatin-triamcinolone cream,S01BA
nystatin-triamcinolone,A07AA
nystatin-triamcinolone cream,A07AA
nystatin-triamcinolone,D01AA
nystatin-triamcinolone cream,D01AA
nystatin-triamcinolone,G01AA
nystatin-triamcinolone cream,G01AA
nystatin-triamcinolone ointment,A01AC
nystatin-triamcinolone ointment,C05AA
nystatin-triamcinolone ointment,D07AB
nystatin-triamcinolone ointment,D07XB
nystatin-triamcinolone ointment,H02AB
nystatin-triamcinolone ointment,R01AD
nystatin-triamcinolone ointment,R03BA
nystatin-triamcinolone ointment,S01BA
nystatin-triamcinolone ointment,A07AA
nystatin-triamcinolone ointment,D01AA
nystatin-triamcinolone ointment,G01AA
hydrocortisone oint 2.5%,A01AC
hydrocortisone oint 2.5%,A07EA
hydrocortisone oint 2.5%,C05AA
hydrocortisone oint 2.5%,D07AA
hydrocortisone oint 2.5%,D07XA
hydrocortisone oint 2.5%,H02AB
hydrocortisone oint 2.5%,S01BA
hydrocortisone oint 2.5%,S01CB
hydrocortisone oint 2.5%,S02BA
clobetasol propionate 0.05% ointment,D07AD
clobetasol propionate 0.05% cream,D07AD
lidocaine 5% ointment,C01BB
lidoca,C01BB
lidocaine ointment 5%,C01BB
lidoc,C01BB
lidocaine 5% ointment,C05AD
lidoca,C05AD
lidocaine ointment 5%,C05AD
lidoc,C05AD
lidocaine 5% ointment,D04AB
lidoca,D04AB
lidocaine ointment 5%,D04AB
lidoc,D04AB
lidocaine 5% ointment,N01BB
lidoca,N01BB
lidocaine ointment 5%,N01BB
lidoc,N01BB
lidocaine 5% ointment,R02AD
lidoca,R02AD
lidocaine ointment 5%,R02AD
lidoc,R02AD
lidocaine 5% ointment,S01HA
lidoca,S01HA
lidocaine ointment 5%,S01HA
lidoc,S01HA
lidocaine 5% ointment,S02DA
lidoca,S02DA
lidocaine ointment 5%,S02DA
lidoc,S02DA
erythromycin,D10AF
erythromycin,J01FA
erythromycin,S01AA
betamethasone dipro 0.05% augmented gel,A07EA
betamethasone dipro 0.05% augmented gel,C05AA
betamethasone dipro 0.05% augmented gel,D07AC
betamethasone dipro 0.05% augmented gel,D07XC
betamethasone dipro 0.05% augmented gel,H02AB
betamethasone dipro 0.05% augmented gel,R01AD
betamethasone dipro 0.05% augmented gel,R03BA
betamethasone dipro 0.05% augmented gel,S01BA
betamethasone dipro 0.05% augmented gel,S01CB
betamethasone dipro 0.05% augmented gel,S02BA
betamethasone dipro 0.05% augmented gel,S03BA
bacitracin/polymyxin b sulfate opht. oint,D06AX
bacitracin-polymyxin ,D06AX
bacitracin/polymyxin b sulfate opht. oint,J01XX
bacitracin-polymyxin ,J01XX
bacitracin/polymyxin b sulfate opht. oint,R02AB
bacitracin-polymyxin ,R02AB
bacitracin/polymyxin b sulfate opht. oint,A07AA
bacitracin-polymyxin ,A07AA
bacitracin/polymyxin b sulfate opht. oint,J01XB
bacitracin-polymyxin ,J01XB
bacitracin/polymyxin b sulfate opht. oint,S01AA
bacitracin-polymyxin ,S01AA
bacitracin/polymyxin b sulfate opht. oint,S02AA
bacitracin-polymyxin ,S02AA
bacitracin/polymyxin b sulfate opht. oint,S03AA
bacitracin-polymyxin ,S03AA
econazole,D01AC
econ,D01AC
prednisolone acetate,D01AC
econopred plus,D01AC
econazole,G01AF
econ,G01AF
prednisolone acetate,G01AF
econopred plus,G01AF
nitroglycerin ointment  2%,C01DA
nitroglycerin oint. 2%,C01DA
nitroglycerin ointment  2%,C05AE
nitroglycerin oint. 2%,C05AE
lidocaine-prilocaine,C01BB
emla,C01BB
lidocaine-prilocaine,C05AD
emla,C05AD
lidocaine-prilocaine,D04AB
emla,D04AB
lidocaine-prilocaine,N01BB
emla,N01BB
lidocaine-prilocaine,R02AD
emla,R02AD
lidocaine-prilocaine,S01HA
emla,S01HA
lidocaine-prilocaine,S02DA
emla,S02DA
repaglinide,A10BX
insulin reg human (novolin r),A10AB
novolin r,A10AB
insulin reg human (novolin r),A10AC
novolin r,A10AC
insulin reg human (novolin r),A10AD
novolin r,A10AD
insulin reg human (novolin r),A10AE
novolin r,A10AE
insulin reg human (novolin r),A10AF
novolin r,A10AF
labetalol,C07AG
propofol,C07AG
potassium chloride (powder),C07AG
midazolam,C07AG
flutamide,L02BB
anagrelide,L01XX
agrylin (anagrelide) 0.5mg cap,L01XX
bupropion sr,N06AX
bupropion (sustained release),N06AX
bupropion,N06AX
bupropion hcl,N06AX
wellbutrin sr,N06AX
ondansetron,A04AA
sumatriptan succinate,N02CC
epoprostenol na,B01AC
bosentan,B01AC
epoprostenol,B01AC
atovaquone suspension,P01AX
amerge,N02CC
naratriptan,N02CC
lamictal,N03AX
lamotrig,N03AX
lamivudine,J05AF
lami,J05AF
malarone,P01BB
malarone,P01AX
fluticasone-salmeterol diskus (100/50),R03AK
fluticasone-salmeterol diskus (100/50),R03AC
fluticasone-salmeterol diskus (100/50),D07AC
fluticasone-salmeterol diskus (100/50),R01AD
fluticasone-salmeterol diskus (100/50),R03BA
fluticasone-salmeterol diskus (250/50) ,R03AK
fluticasone-salmeterol diskus (250/50) ,R03AC
fluticasone-salmeterol diskus (250/50) ,D07AC
fluticasone-salmeterol diskus (250/50) ,R01AD
fluticasone-salmeterol diskus (250/50) ,R03BA
*nf* salmeterol-fluticasone,R03AK
advair diskus,R03AK
fluticasone-salmeterol diskus (500/50) ,R03AK
fluticasone-salmeterol,R03AK
*nf* salmeterol-fluticasone,R03AC
advair diskus,R03AC
fluticasone-salmeterol diskus (500/50) ,R03AC
fluticasone-salmeterol,R03AC
*nf* salmeterol-fluticasone,D07AC
advair diskus,D07AC
fluticasone-salmeterol diskus (500/50) ,D07AC
fluticasone-salmeterol,D07AC
*nf* salmeterol-fluticasone,R01AD
advair diskus,R01AD
fluticasone-salmeterol diskus (500/50) ,R01AD
fluticasone-salmeterol,R01AD
*nf* salmeterol-fluticasone,R03BA
advair diskus,R03BA
fluticasone-salmeterol diskus (500/50) ,R03BA
fluticasone-salmeterol,R03BA
imitrex,N02CC
lamictal xr,N03AX
valacyclovir,J05AB
valtrex,J05AB
valacyclovir hcl,J05AB
*nf* valacyclovir,J05AB
wellbutrin,N06AX
buprop,N06AX
urocit-k 10,A12BA
urocit-k 5,A12BA
potassium citrate,A12BA
zonisamide,N03AX
methimazole,H03BB
indomethacin xr,C01EB
indomethacin xr,M01AB
indomethacin xr,M02AA
indomethacin xr,S01BC
sulfadiazine,J01EC
bisoprolol fumarate,C07AB
zebeta,C07AB
bisopro,C07AB
bisopr,C07AB
bisop,C07AB
bisoprolol,C07AB
cholestyramine,C10AC
atacand,C09CA
candesartan,C09CA
candesartan cilexetil,C09CA
atacand hct,C09CA
symbicort,D07AC
symbicort,R01AD
symbicort,R03BA
symbicort,R03AC
symbicort,R03AK
*nf* budesonide,A07EA
budesonide,A07EA
entocort ec,A07EA
nexium,A07EA
*nf* budesonide,D07AC
budesonide,D07AC
entocort ec,D07AC
nexium,D07AC
*nf* budesonide,R01AD
budesonide,R01AD
entocort ec,R01AD
nexium,R01AD
*nf* budesonide,R03BA
budesonide,R03BA
entocort ec,R03BA
nexium,R03BA
ticagrelor,B01AC
brilinta,B01AC
metoprolol xl,C07AB
metoprolol,C07AB
iso-osmotic dextrose,C07AB
metoprolol xl (toprol xl),C07AB
metoprolol succinate xl,C07AB
uroxatral,C07AB
d5w,C07AB
heparin sodium,C07AB
nitroglycerin,C07AB
symlin,C07AB
fluticasone-salmeterol,C07AB
toprol xl,C07AB
metoprolol ,C07AB
metoprolo,C07AB
pulmicort,A07EA
pulmicort,D07AC
pulmicort,R01AD
pulmicort,R03BA
unifiber,A07EA
budesonide (bulk),A07EA
unifiber,D07AC
budesonide (bulk),D07AC
unifiber,R01AD
budesonide (bulk),R01AD
unifiber,R03BA
budesonide (bulk),R03BA
nexium,A02BC
*nf* esomeprazole,A02BC
esomeprazole magnesium,A02BC
nexium 40mg capsules,A02BC
ribavirin aerosol,J05AP
tasmar,N04BX
tolcapone,N04BX
pyridostigmine bromide syrup,N07AA
pyridostigmine ,N07AA
pyrid,N07AA
flucytosine,D01AE
flucytosine,J02AX
piperacillin-tazobactam na,J01CG
piperacillin-tazobactam,J01CG
piperacillin-tazobactam na,J01CA
piperacillin-tazobactam,J01CA
zosyn desensitization,J01CG
zosyn desensitization,J01CA
clobazam,J01CG
clobazam,J01CA
morphine sulfate,J01CG
morphine sulfate,J01CA
l-hyoscyamine,A03BA
hyoscyamine,A03BA
hyo,A03BA
l-hyoscyamine sl,A03BA
hyosc,A03BA
hyoscyamine ,A03BA
levsin,A03BA
hyoscyami,A03BA
oxazepam,N05BA
nifedipine,C08CA
nifed,C08CA
isradipine,C08CA
isosorbide mononitrate,C01DA
isosorbide ,C01DA
potassium iodide,R05CA
potassium iodide,S01XA
potassium iodide,V03AB
potassium chloride,A12BA
potassium chloride replacement (oncology),A12BA
tarceva,A12BA
potassium chloride (powder),A12BA
potassium chloride ,A12BA
enablex,A12BA
potassium ,A12BA
januvia,A12BA
baclofen,A12BA
latuda (lurasidone),A12BA
micro-k,A12BA
insulin pump (self administering medication),A12BA
potassium chloride,B05XA
potassium chloride replacement (oncology),B05XA
tarceva,B05XA
potassium chloride (powder),B05XA
potassium chloride ,B05XA
enablex,B05XA
potassium ,B05XA
januvia,B05XA
baclofen,B05XA
latuda (lurasidone),B05XA
micro-k,B05XA
insulin pump (self administering medication),B05XA
amiodarone,C01BD
midodrine,C01CA
nephramine 2.7%,N06AX
nephramine 2.7%,B05XB
nephramine 2.7%,V03AB
nephramine 2.7%,A12CA
nephramine 2.7%,B05CB
nephramine 2.7%,B05XA
hespan,B05AA
cefazolin,J01DB
metformin xr,J01DB
d5w (excel),B05CX
5% dextrose (excel bag),B05CX
byetta,B05CX
d5w (excel),V04CA
5% dextrose (excel bag),V04CA
byetta,V04CA
d5w (excel),V06DC
5% dextrose (excel bag),V06DC
byetta,V06DC
d5w (excel bag),B05CX
sw,B05CX
ns,B05CX
d5w (excel bag),V04CA
sw,V04CA
ns,V04CA
d5w (excel bag),V06DC
sw,V06DC
ns,V06DC
ns (excel),A12CA
0.9% sodium chloride (excel bag),A12CA
ns (excel),B05CB
0.9% sodium chloride (excel bag),B05CB
ns (excel),B05XA
0.9% sodium chloride (excel bag),B05XA
starter pn d10,N06AX
starter pn d5,N06AX
starter pn d10,B05CX
starter pn d5,B05CX
starter pn d10,B05XA
starter pn d5,B05XA
starter pn d10,B05XB
starter pn d5,B05XB
starter pn d10,V03AB
starter pn d5,V03AB
starter pn d10,A12CA
starter pn d5,A12CA
starter pn d10,B05CB
starter pn d5,B05CB
heparin sodium,B01AB
warfarin,B01AB
heparin sodium,C05BA
warfarin,C05BA
heparin sodium,S01XA
warfarin,S01XA
sincalide,V04CC
hurricaine spray,C05AD
benzocaine 20% spray,C05AD
d5w,C05AD
hurricaine spray,D04AB
benzocaine 20% spray,D04AB
d5w,D04AB
hurricaine spray,N01BA
benzocaine 20% spray,N01BA
d5w,N01BA
hurricaine spray,R02AD
benzocaine 20% spray,R02AD
d5w,R02AD
metronidazole topical 1 % gel,A01AB
metronidazole,A01AB
metronidazole cream 1%,A01AB
metronidazole topical 1 % gel,D06BX
metronidazole,D06BX
metronidazole cream 1%,D06BX
metronidazole topical 1 % gel,G01AF
metronidazole,G01AF
metronidazole cream 1%,G01AF
metronidazole topical 1 % gel,J01XD
metronidazole,J01XD
metronidazole cream 1%,J01XD
metronidazole topical 1 % gel,P01AB
metronidazole,P01AB
metronidazole cream 1%,P01AB
arimidex,L02BG
anastrozole,L02BG
quetiapine extended-release,N05AH
meropenem,J01DH
meropenem desensitization,J01DH
fulvestrant (faslodex),L02BA
fulvestrant,L02BA
rosuvastatin calcium,C10AA
rosuvastatin,C10AA
bystolic,C10AA
renacidin,A09AB
*nf* renacidin soln,A09AB
renacidin,A02AA
*nf* renacidin soln,A02AA
renacidin,A06AD
*nf* renacidin soln,A06AD
5% dextrose,B05CX
d5w,B05CX
isradipine,B05CX
dextrose 5%,B05CX
omeprazole,B05CX
felodipine,B05CX
restasis,B05CX
5% dextrose,V04CA
d5w,V04CA
isradipine,V04CA
dextrose 5%,V04CA
omeprazole,V04CA
felodipine,V04CA
restasis,V04CA
5% dextrose,V06DC
d5w,V06DC
isradipine,V06DC
dextrose 5%,V06DC
omeprazole,V06DC
felodipine,V06DC
restasis,V06DC
clobetasol propionate,B05CX
vytorin 10/20,B05CX
tobramycin fortified ophth. soln.,B05CX
cefazolin ophthalmic solution,B05CX
benzoyl peroxide,B05CX
estradiol/norethindr( activella),B05CX
vancomycin enema,B05CX
iso-osmotic dextrose,B05CX
d5w 0.1% albumin,B05CX
heparin,B05CX
soln.,B05CX
ns        (glass bottle),B05CX
nitroprusside sodium,B05CX
phenylephrine hcl,B05CX
water,B05CX
*nf* argatroban,B05CX
morphine sulfate,B05CX
vigamox,B05CX
sodium bicarbonate,B05CX
dopamine,B05CX
norepinephrine,B05CX
lidocaine jelly 2% (urojet),B05CX
phenylephrine,B05CX
mannitol 20%,B05CX
magnesium sulfate,B05CX
propofol,B05CX
zanamivir,B05CX
combigan,B05CX
acidophilus-b.bifidum-b.longum,B05CX
fentanyl citrate,B05CX
potassium chloride (powder),B05CX
vasopressin,B05CX
potassium chloride,B05CX
hydromorphone (dilaudid),B05CX
acetaminophen,B05CX
ondansetron,B05CX
clobetasol propionate,V04CA
vytorin 10/20,V04CA
tobramycin fortified ophth. soln.,V04CA
cefazolin ophthalmic solution,V04CA
benzoyl peroxide,V04CA
estradiol/norethindr( activella),V04CA
vancomycin enema,V04CA
iso-osmotic dextrose,V04CA
d5w 0.1% albumin,V04CA
heparin,V04CA
soln.,V04CA
ns        (glass bottle),V04CA
nitroprusside sodium,V04CA
phenylephrine hcl,V04CA
water,V04CA
*nf* argatroban,V04CA
morphine sulfate,V04CA
vigamox,V04CA
sodium bicarbonate,V04CA
dopamine,V04CA
norepinephrine,V04CA
lidocaine jelly 2% (urojet),V04CA
phenylephrine,V04CA
mannitol 20%,V04CA
magnesium sulfate,V04CA
propofol,V04CA
zanamivir,V04CA
combigan,V04CA
acidophilus-b.bifidum-b.longum,V04CA
fentanyl citrate,V04CA
potassium chloride (powder),V04CA
vasopressin,V04CA
potassium chloride,V04CA
hydromorphone (dilaudid),V04CA
acetaminophen,V04CA
ondansetron,V04CA
clobetasol propionate,V06DC
vytorin 10/20,V06DC
tobramycin fortified ophth. soln.,V06DC
cefazolin ophthalmic solution,V06DC
benzoyl peroxide,V06DC
estradiol/norethindr( activella),V06DC
vancomycin enema,V06DC
iso-osmotic dextrose,V06DC
d5w 0.1% albumin,V06DC
heparin,V06DC
soln.,V06DC
ns        (glass bottle),V06DC
nitroprusside sodium,V06DC
phenylephrine hcl,V06DC
water,V06DC
*nf* argatroban,V06DC
morphine sulfate,V06DC
vigamox,V06DC
sodium bicarbonate,V06DC
dopamine,V06DC
norepinephrine,V06DC
lidocaine jelly 2% (urojet),V06DC
phenylephrine,V06DC
mannitol 20%,V06DC
magnesium sulfate,V06DC
propofol,V06DC
zanamivir,V06DC
combigan,V06DC
acidophilus-b.bifidum-b.longum,V06DC
fentanyl citrate,V06DC
potassium chloride (powder),V06DC
vasopressin,V06DC
potassium chloride,V06DC
hydromorphone (dilaudid),V06DC
acetaminophen,V06DC
ondansetron,V06DC
betaseron,B05CX
cvvh citrated,B05CX
sutent,B05CX
symbicort,B05CX
liothyronine,B05CX
calcium chloride,B05CX
ascorbic acid,B05CX
betaseron,V04CA
cvvh citrated,V04CA
sutent,V04CA
symbicort,V04CA
liothyronine,V04CA
calcium chloride,V04CA
ascorbic acid,V04CA
betaseron,V06DC
cvvh citrated,V06DC
sutent,V06DC
symbicort,V06DC
liothyronine,V06DC
calcium chloride,V06DC
ascorbic acid,V06DC
nuvaring(etonogestrel/ethinyl estradiol,B05CX
nuvaring(etonogestrel/ethinyl estradiol,V04CA
nuvaring(etonogestrel/ethinyl estradiol,V06DC
d5w w 0.2% albumin,B05CX
foradil aerolizer,B05CX
convatek,B05CX
riboflavin,B05CX
desvenlafaxine,B05CX
d5w w 0.2% albumin,V04CA
foradil aerolizer,V04CA
convatek,V04CA
riboflavin,V04CA
desvenlafaxine,V04CA
d5w w 0.2% albumin,V06DC
foradil aerolizer,V06DC
convatek,V06DC
riboflavin,V06DC
desvenlafaxine,V06DC
d10w,B05CX
d12.5w,B05CX
d12w,B05CX
maalox,B05CX
sodium chloride,B05CX
corn starch (bulk),B05CX
d10w,V04CA
d12.5w,V04CA
d12w,V04CA
maalox,V04CA
sodium chloride,V04CA
corn starch (bulk),V04CA
d10w,V06DC
d12.5w,V06DC
d12w,V06DC
maalox,V06DC
sodium chloride,V06DC
corn starch (bulk),V06DC
1/2 ns,A12CA
0.45% sodium chloride,A12CA
1/2 ns,B05CB
0.45% sodium chloride,B05CB
1/2 ns,B05XA
0.45% sodium chloride,B05XA
0.45 % sodium chloride,A12CA
haloperidol,A12CA
midazolam,A12CA
fentanyl citrate,A12CA
foltx,A12CA
chantix,A12CA
aranesp,A12CA
aranesp 300 mcg,A12CA
dutasteride,A12CA
sevelamer carbonate,A12CA
econazole 1% cream,A12CA
phenytoin sodium,A12CA
0.45 % sodium chloride,B05CB
haloperidol,B05CB
midazolam,B05CB
fentanyl citrate,B05CB
foltx,B05CB
chantix,B05CB
aranesp,B05CB
aranesp 300 mcg,B05CB
dutasteride,B05CB
sevelamer carbonate,B05CB
econazole 1% cream,B05CB
phenytoin sodium,B05CB
0.45 % sodium chloride,B05XA
haloperidol,B05XA
midazolam,B05XA
fentanyl citrate,B05XA
foltx,B05XA
chantix,B05XA
aranesp,B05XA
aranesp 300 mcg,B05XA
dutasteride,B05XA
sevelamer carbonate,B05XA
econazole 1% cream,B05XA
phenytoin sodium,B05XA
ns (irrigation bottle),A12CA
ns (irrigation bottle),B05CB
ns (irrigation bottle),B05XA
0.9% sodium chloride,A12CA
0.9% sodium chloride,B05CB
0.9% sodium chloride,B05XA
ns,A12CA
ns epidural bag (0.9% nacl),A12CA
lidocaine 1% (w/presv.),A12CA
vancomycin ophthalmic 50mg/ml,A12CA
tobramycin fortified ophth. 15mg/ml,A12CA
fleet enema,A12CA
phenytoin sodium **brand name only**,A12CA
hki-272,A12CA
bupivacaine 0.1%,A12CA
repliva 21/7 (new formulation),A12CA
diflunisal,A12CA
propofol,A12CA
albuterol 0.083% neb soln,A12CA
ipratropium bromide neb,A12CA
lorazepam,A12CA
diltiazem,A12CA
esmolol,A12CA
metoprolol,A12CA
potassium citrate,A12CA
acetaminophen (rectal),A12CA
fentanyl,A12CA
acidophilus,A12CA
ns,B05CB
ns epidural bag (0.9% nacl),B05CB
lidocaine 1% (w/presv.),B05CB
vancomycin ophthalmic 50mg/ml,B05CB
tobramycin fortified ophth. 15mg/ml,B05CB
fleet enema,B05CB
phenytoin sodium **brand name only**,B05CB
hki-272,B05CB
bupivacaine 0.1%,B05CB
repliva 21/7 (new formulation),B05CB
diflunisal,B05CB
propofol,B05CB
albuterol 0.083% neb soln,B05CB
ipratropium bromide neb,B05CB
lorazepam,B05CB
diltiazem,B05CB
esmolol,B05CB
metoprolol,B05CB
potassium citrate,B05CB
acetaminophen (rectal),B05CB
fentanyl,B05CB
acidophilus,B05CB
ns,B05XA
ns epidural bag (0.9% nacl),B05XA
lidocaine 1% (w/presv.),B05XA
vancomycin ophthalmic 50mg/ml,B05XA
tobramycin fortified ophth. 15mg/ml,B05XA
fleet enema,B05XA
phenytoin sodium **brand name only**,B05XA
hki-272,B05XA
bupivacaine 0.1%,B05XA
repliva 21/7 (new formulation),B05XA
diflunisal,B05XA
propofol,B05XA
albuterol 0.083% neb soln,B05XA
ipratropium bromide neb,B05XA
lorazepam,B05XA
diltiazem,B05XA
esmolol,B05XA
metoprolol,B05XA
potassium citrate,B05XA
acetaminophen (rectal),B05XA
fentanyl,B05XA
acidophilus,B05XA
hyaluronidase,A12CA
insulin pump (self administering medication),A12CA
preparation h maximum strength,A12CA
insulin pump,A12CA
januvia,A12CA
cartia xt,A12CA
abreva,A12CA
thrombin,A12CA
revatio (sildenafil),A12CA
phenylephrine,A12CA
sodium chloride 0.9 % or no intervention,A12CA
dopamine,A12CA
magnesium sulfate,A12CA
calcium gluconate,A12CA
furosemide,A12CA
potassium chloride,A12CA
ondansetron,A12CA
vicodin ,A12CA
sanctura xr,A12CA
sanctura,A12CA
miralax,A12CA
mirapex,A12CA
metoprolol tartrate,A12CA
levetiracetam,A12CA
ethiodol,A12CA
tegretol xr,A12CA
potassium chloride (powder),A12CA
erythromycin opthalmic,A12CA
hyaluronidase,B05CB
insulin pump (self administering medication),B05CB
preparation h maximum strength,B05CB
insulin pump,B05CB
januvia,B05CB
cartia xt,B05CB
abreva,B05CB
thrombin,B05CB
revatio (sildenafil),B05CB
phenylephrine,B05CB
sodium chloride 0.9 % or no intervention,B05CB
dopamine,B05CB
magnesium sulfate,B05CB
calcium gluconate,B05CB
furosemide,B05CB
potassium chloride,B05CB
ondansetron,B05CB
vicodin ,B05CB
sanctura xr,B05CB
sanctura,B05CB
miralax,B05CB
mirapex,B05CB
metoprolol tartrate,B05CB
levetiracetam,B05CB
ethiodol,B05CB
tegretol xr,B05CB
potassium chloride (powder),B05CB
erythromycin opthalmic,B05CB
hyaluronidase,B05XA
preparation h maximum strength,B05XA
insulin pump,B05XA
cartia xt,B05XA
abreva,B05XA
thrombin,B05XA
revatio (sildenafil),B05XA
phenylephrine,B05XA
sodium chloride 0.9 % or no intervention,B05XA
dopamine,B05XA
magnesium sulfate,B05XA
calcium gluconate,B05XA
furosemide,B05XA
ondansetron,B05XA
vicodin ,B05XA
sanctura xr,B05XA
sanctura,B05XA
miralax,B05XA
mirapex,B05XA
metoprolol tartrate,B05XA
levetiracetam,B05XA
ethiodol,B05XA
tegretol xr,B05XA
erythromycin opthalmic,B05XA
clobazam,A12CA
iso-osmotic sodium chloride,A12CA
thiamine hcl,A12CA
folic acid,A12CA
multivitamin 12,A12CA
lr,A12CA
d5w,A12CA
phenylephrine hcl,A12CA
ampicillin sodium,A12CA
lactobacillus acidophilus,A12CA
hydralazine,A12CA
lipram 4500,A12CA
avodart,A12CA
sodium bicarbonate,A12CA
tears naturale pm,A12CA
coenzyme q10,A12CA
naltrexone,A12CA
betaseron,A12CA
byetta,A12CA
lysine 500mg tablets,A12CA
halobetasol propionate,A12CA
urelle,A12CA
nevanac,A12CA
vigamox,A12CA
durezol 0.05% drops,A12CA
lidocaine 1%,A12CA
hydromorphone pca (dilaudid),A12CA
zestril,A12CA
levemir,A12CA
soriatane ck,A12CA
meningococcal conj vaccine (menomune),A12CA
milk thistle,A12CA
norepinephrine,A12CA
zanamivir,A12CA
clobazam,B05CB
iso-osmotic sodium chloride,B05CB
thiamine hcl,B05CB
folic acid,B05CB
multivitamin 12,B05CB
lr,B05CB
d5w,B05CB
phenylephrine hcl,B05CB
ampicillin sodium,B05CB
lactobacillus acidophilus,B05CB
hydralazine,B05CB
lipram 4500,B05CB
avodart,B05CB
sodium bicarbonate,B05CB
tears naturale pm,B05CB
coenzyme q10,B05CB
naltrexone,B05CB
betaseron,B05CB
byetta,B05CB
lysine 500mg tablets,B05CB
halobetasol propionate,B05CB
urelle,B05CB
nevanac,B05CB
vigamox,B05CB
durezol 0.05% drops,B05CB
lidocaine 1%,B05CB
hydromorphone pca (dilaudid),B05CB
zestril,B05CB
levemir,B05CB
soriatane ck,B05CB
meningococcal conj vaccine (menomune),B05CB
milk thistle,B05CB
norepinephrine,B05CB
zanamivir,B05CB
clobazam,B05XA
iso-osmotic sodium chloride,B05XA
thiamine hcl,B05XA
folic acid,B05XA
multivitamin 12,B05XA
lr,B05XA
d5w,B05XA
phenylephrine hcl,B05XA
ampicillin sodium,B05XA
lactobacillus acidophilus,B05XA
hydralazine,B05XA
lipram 4500,B05XA
avodart,B05XA
sodium bicarbonate,B05XA
tears naturale pm,B05XA
coenzyme q10,B05XA
naltrexone,B05XA
betaseron,B05XA
byetta,B05XA
lysine 500mg tablets,B05XA
halobetasol propionate,B05XA
urelle,B05XA
nevanac,B05XA
vigamox,B05XA
durezol 0.05% drops,B05XA
lidocaine 1%,B05XA
hydromorphone pca (dilaudid),B05XA
zestril,B05XA
levemir,B05XA
soriatane ck,B05XA
meningococcal conj vaccine (menomune),B05XA
milk thistle,B05XA
norepinephrine,B05XA
zanamivir,B05XA
lidocaine 1% p.f.,A12CA
diazepam,A12CA
lidocaine 1% p.f.,B05CB
diazepam,B05CB
lidocaine 1% p.f.,B05XA
diazepam,B05XA
1/4 ns,A12CA
labetalol,A12CA
acetaminophen (liquid),A12CA
bumetanide,A12CA
atomoxitene,A12CA
vexol,A12CA
nitroglycerin,A12CA
heparin sodium,A12CA
systane,A12CA
azor,A12CA
dextrose 50%,A12CA
milk thistle extract,A12CA
1/4 ns,B05CB
labetalol,B05CB
acetaminophen (liquid),B05CB
bumetanide,B05CB
atomoxitene,B05CB
vexol,B05CB
nitroglycerin,B05CB
heparin sodium,B05CB
systane,B05CB
azor,B05CB
dextrose 50%,B05CB
milk thistle extract,B05CB
1/4 ns,B05XA
labetalol,B05XA
acetaminophen (liquid),B05XA
bumetanide,B05XA
atomoxitene,B05XA
vexol,B05XA
nitroglycerin,B05XA
heparin sodium,B05XA
systane,B05XA
azor,B05XA
dextrose 50%,B05XA
milk thistle extract,B05XA
sodium chloride 3% (hypertonic),A12CA
